"user_id","game_name","payment_month","total_revenue","age","language","previous_paid_month","next_paid_month","next_calendar_month","prev_calendar_month","previous_revenue","future_revenue","new_mrr","new_paid_users","paid_users","expansion_mrr","contraction_mrr","churned_revenue","churned_users","churn_month"
F9Jtg6+0qPUKWDgBJxG8cA==,game 3,2022-06-01 00:00:00.000 +0300,89.07,18,ru,2022-04-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,48.45,31.59,0,0,1,0,0,0,0,
F9Jtg6+0qPUKWDgBJxG8cA==,game 3,2022-07-01 00:00:00.000 +0300,31.59,18,ru,2022-06-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,89.07,30.39,0,0,1,0,57.48,0,0,
F9Jtg6+0qPUKWDgBJxG8cA==,game 3,2022-08-01 00:00:00.000 +0300,30.39,18,ru,2022-07-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-09-01,2022-07-01,31.59,22.14,0,0,1,0,1.20,30.39,1,2022-09-01
F9Jtg6+0qPUKWDgBJxG8cA==,game 3,2022-11-01 00:00:00.000 +0200,22.14,18,ru,2022-08-01 00:00:00.000 +0300,,2022-12-01,2022-10-01,30.39,,0,0,1,0,0,22.14,1,2022-12-01
FbbhrtuL39vfmatF2ObVfA==,game 3,2022-09-01 00:00:00.000 +0300,42.60,16,uk,,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,,114.09,42.60,1,1,0,0,0,0,
FbbhrtuL39vfmatF2ObVfA==,game 3,2022-10-01 00:00:00.000 +0300,114.09,16,uk,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,42.60,112.86,0,0,1,71.49,0,0,0,
FbbhrtuL39vfmatF2ObVfA==,game 3,2022-11-01 00:00:00.000 +0200,112.86,16,uk,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,114.09,14.67,0,0,1,0,1.23,0,0,
FbbhrtuL39vfmatF2ObVfA==,game 3,2022-12-01 00:00:00.000 +0200,14.67,16,uk,2022-11-01 00:00:00.000 +0200,,2023-01-01,2022-11-01,112.86,,0,0,1,0,98.19,14.67,1,2023-01-01
fCdEizmUtnjNYQLbx81H8g==,game 3,2022-04-01 00:00:00.000 +0300,18.12,16,ru,,,2022-05-01,2022-03-01,,,18.12,1,1,0,0,18.12,1,2022-05-01
fDgyPW0yy0+9ietMvl0vmA==,game 3,2022-06-01 00:00:00.000 +0300,19.98,18,ru,,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,,32.94,19.98,1,1,0,0,0,0,
